Sender ID,Date,Message
-1001878765214,2025-03-07 05:41:10+00:00,AA JAO GUYS 🧨💸💸
-1001878765214,2025-03-07 05:40:32+00:00,"Guys i am live now

https://www.youtube.com/live/V5Ag32DK33Y?si=lr9ZfeMHlvKZIxoL


Exness 🟨 
Get Less Spread Upto 0.16 = https://one.exnesstrack.net/a/0t1gol1gpe


Join now 🤩🤩🤩👆👆👆"
-1001878765214,2025-03-07 02:54:19+00:00,GOOD MORNING GUYS 🧨💸💸
-1001878765214,2025-03-06 11:54:55+00:00,AA JAO GUYS 🧨💸💸
-1001878765214,2025-03-06 11:54:51+00:00,"Guys i am live now

https://www.youtube.com/live/t6dhCyS_5ms?si=N0Mt4VJ4B4VC4rka


Exness 🟨 
Get Less Spread Upto 0.16 = https://one.exnesstrack.net/a/0t1gol1gpe


Join now 🤩🤩🤩👆👆👆"
-1001878765214,2025-03-06 09:12:49+00:00,"target hit 147 pips🤑🤑


buy trade 44 pips running🎃

maja aya kya guys ?"
-1001878765214,2025-03-06 05:52:17+00:00,AA JAO GUYS 🧨💸💸
-1001878765214,2025-03-06 05:52:11+00:00,"Guys i am live now

https://www.youtube.com/live/qRGTqqYsRYw?si=_H7OFnbjZTCa9q3s


Exness 🟨 
Get Less Spread Upto 0.16 = https://one.exnesstrack.net/a/0t1gol1gpe


Join now 🤩🤩🤩👆👆👆"
-1001878765214,2025-03-06 05:19:10+00:00,"Live thok do guys ❤️‍🔥

Aur Comments me batana kitna profit book kia 🤑🤑

https://youtube.com/shorts/XHEu9y-_xks?si=LibpEtPYqECpBf8p"
-1001878765214,2025-03-06 02:13:25+00:00,"Good Morning Guys 🧨💸💸

Euro USD. TP HIT  **120 PIPS** 🤑🤑

**PROFIT = 2400%** 🎃"
-1001878765214,2025-03-05 16:54:40+00:00,"TARGET HIT GUYS🤑🤑

320 PIPS🎃

AND VIP GROUPS SELL TRADE RUNNING 31 PIPS RUNNING

WHY ARE YOU WAITING  😱

 JOIN  VIP GROUP NOW🔥🔥

Open ACCOUNT IN 💛EXNESS   💰


Exness Account Opening Link 👇👇

https://one.exnesstrack.net/a/0t1gol1gpe


Send me on Screenshot on WhatsApp 🚀👇👇

https://api-wa.co/YvWSLt

And GET VIP GROUP ACCESS 🔥🔥

ITS FREE TO JOIN GUYS😈"
-1001878765214,2025-03-05 14:23:41+00:00,"MAJA AAGYA🤑🤑

KEEP HOLDING 🎃"
-1001878765214,2025-03-05 12:10:29+00:00,"AA JAO GUYS 🧨💸💸

AAJ NEWS TRADE KARENGE"
-1001878765214,2025-03-05 12:10:03+00:00,"Guys i am live now


https://www.youtube.com/live/5TI5pVveqXo?si=YtLYN8VJECe67Hyt

Exness 🟨 
Get Less Spread Upto 0.16 = https://one.exnesstrack.net/a/0t1gol1gpe


Join now 🤩🤩🤩👆👆👆"
-1001878765214,2025-03-05 12:06:24+00:00,Make it RISK FREE GUYS
-1001878765214,2025-03-05 11:35:03+00:00,Let the price hold above level
-1001878765214,2025-03-05 10:53:46+00:00,"EUR USD

BUY - If price holds above 1.0680
Look for bullish confirmation.🧨💸💸"
-1001878765214,2025-03-05 05:33:19+00:00,AA JAO GUYS 🧨💸💸
-1001878765214,2025-03-05 05:33:15+00:00,"Guys i am live now

https://www.youtube.com/live/vMqPKBQHMyY?si=66az0WxsAgu6-L70


Exness 🟨 
Get Less Spread Upto 0.16 = https://one.exnesstrack.net/a/0t1gol1gpe


Join now 🤩🤩🤩👆👆👆"
-1001878765214,2025-03-05 03:01:22+00:00,GOOD MORNING GUYS 🧨💸💸
